Title,Location,Price,Area
Apartment Brouwersgracht 248 A,            1013 HE Amsterdam (Haarlemmerbuurt)        ,"                €1,900 per month            ",78 m²
Studio John M. Keynesplein 2,            1066 EP Amsterdam (Sloter-/Riekerpolder)        ,"                €1,195 per month            ",23 m²
Apartment Krammerstraat,            1078 KG Amsterdam (Scheldebuurt)        ,"                €2,550 per month            ",71 m²
Apartment Cornelis Trooststraat,            1072 JE Amsterdam (Nieuwe Pijp)        ,"                €1,800 per month            ",60 m²
Apartment Weesperzijde,            1091 EA Amsterdam (Weesperzijde)        ,"                €3,450 per month            ",129 m²
House Wouwermanstraat 24 HS,            1071 LZ Amsterdam (Museumkwartier)        ,"                €3,250 per month            ",138 m²
Apartment Transvaalstraat,            1092 HN Amsterdam (Transvaalbuurt)        ,"                €1,650 per month            ",61 m²
Apartment Eerste Atjehstraat 23 H,            1094 JZ Amsterdam (Indische Buurt West)        ,"                €1,700 per month            ",65 m²
Apartment Rie Mastenbroekstraat,            1095 MJ Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,450 per month            ",40 m²
Apartment Prins Hendrikkade,            1011 AW Amsterdam (Nieuwmarkt/Lastage)        ,"                €2,200 per month            ",64 m²
Apartment Amstel,            1017 AD Amsterdam (Grachtengordel-Zuid)        ,"                €2,100 per month            ",63 m²
Apartment Van der Hoopstraat,            1051 VN Amsterdam (Staatsliedenbuurt)        ,"                €1,500 per month            ",50 m²
Apartment Assumburg,            1081 GB Amsterdam (Buitenveldert-West)        ,"                €1,600 per month            ",64 m²
Apartment Madurastraat 8 E,            1094 GL Amsterdam (Indische Buurt West)        ,"                €1,535 per month            ",65 m²
Apartment Rochussenstraat,            1051 JK Amsterdam (Staatsliedenbuurt)        ,"                €1,400 per month            ",38 m²
Apartment Erich Salomonstraat,            1087 GT Amsterdam (IJburg West)        ,"                €1,650 per month            ",85 m²
Apartment De Wittenkade 63 IV,            1052 AD Amsterdam (Staatsliedenbuurt)        ,"                €1,850 per month            ",71 m²
Apartment Korte Prinsengracht,            1013 GS Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",81 m²
Apartment Amstelveenseweg,            1075 XK Amsterdam (Schinkelbuurt)        ,"                €1,750 per month            ",70 m²
Apartment Prinsengracht,            1016 HK Amsterdam (Grachtengordel-West)        ,"                €1,750 per month            ",42 m²
Apartment Plantage Middenlaan,            1018 DH Amsterdam (Weesperbuurt/Plantage)        ,"                €1,750 per month            ",68 m²
Apartment Da Costakade,            1053 WG Amsterdam (Da Costabuurt)        ,"                €1,600 per month            ",40 m²
Apartment Jan Hanzenstraat,            1053 SR Amsterdam (Kinkerbuurt)        ,"                €1,600 per month            ",50 m²
Apartment Reinier Claeszenstraat 72 1,            1056 WP Amsterdam (Geuzenbuurt)        ,"                €1,650 per month            ",54 m²
Apartment Mensinge 72,            1083 HG Amsterdam (Buitenveldert-Oost)        ,"                €2,950 per month            ",125 m²
Apartment Groenburgwal 47 3,            1011 HS Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,750 per month            ",40 m²
Apartment Keizersgracht 461 B,            1017 DK Amsterdam (Grachtengordel-Zuid)        ,"                €1,700 per month            ",73 m²
Apartment Brouwersgracht 248 A,            1013 HE Amsterdam (Haarlemmerbuurt)        ,"                €1,900 per month            ",78 m²
Apartment Witte de Withstraat 3 M,            1057 XD Amsterdam (Chassébuurt)        ,"                €2,150 per month            ",85 m²
Apartment Churchill-laan 199 H,            1078 EB Amsterdam (Scheldebuurt)        ,"                €1,750 per month            ",112 m²
Apartment Nassaukade,            1054 AD Amsterdam (Helmersbuurt)        ,"                €1,600 per month            ",70 m²
Apartment Eerste Keucheniusstraat,            1051 HS Amsterdam (Staatsliedenbuurt)        ,"                €1,650 per month            ",41 m²
